year,age_group,count
1968,2 Months-2 Years,2
1968,3-11 Years,1
1968,12-17 Years,2
1968,18-64 Years,85
1968,65-85 Years,7
1968,Not Specified,10
1969,0-1 Month,2
1969,2 Months-2 Years,127
1969,3-11 Years,206
1969,12-17 Years,167
1969,18-64 Years,3287
1969,65-85 Years,627
1969,More than 85 Years,31
1969,Not Specified,986
1970,0-1 Month,6
1970,2 Months-2 Years,371
1970,3-11 Years,686
1970,12-17 Years,524
1970,18-64 Years,9740
1970,65-85 Years,2832
1970,More than 85 Years,98
1970,Not Specified,3690
1971,0-1 Month,6
1971,2 Months-2 Years,206
1971,3-11 Years,329
1971,12-17 Years,313
1971,18-64 Years,7156
1971,65-85 Years,2530
1971,More than 85 Years,61
1971,Not Specified,2555
1972,0-1 Month,3
1972,2 Months-2 Years,135
1972,3-11 Years,221
1972,12-17 Years,185
1972,18-64 Years,4441
1972,65-85 Years,1983
1972,More than 85 Years,27
1972,Not Specified,2642
1973,0-1 Month,4
1973,2 Months-2 Years,199
1973,3-11 Years,363
1973,12-17 Years,264
1973,18-64 Years,3784
1973,65-85 Years,1334
1973,More than 85 Years,41
1973,Not Specified,5388
1974,0-1 Month,4
1974,2 Months-2 Years,131
1974,3-11 Years,255
1974,12-17 Years,220
1974,18-64 Years,3531
1974,65-85 Years,824
1974,More than 85 Years,50
1974,Not Specified,4238
1975,0-1 Month,2
1975,2 Months-2 Years,172
1975,3-11 Years,324
1975,12-17 Years,261
1975,18-64 Years,4157
1975,65-85 Years,1491
1975,More than 85 Years,59
1975,Not Specified,4149
1976,0-1 Month,3
1976,2 Months-2 Years,134
1976,3-11 Years,300
1976,12-17 Years,279
1976,18-64 Years,4155
1976,65-85 Years,879
1976,More than 85 Years,66
1976,Not Specified,5005
1977,0-1 Month,6
1977,2 Months-2 Years,159
1977,3-11 Years,349
1977,12-17 Years,402
1977,18-64 Years,5441
1977,65-85 Years,1295
1977,More than 85 Years,62
1977,Not Specified,6027
1978,0-1 Month,4
1978,2 Months-2 Years,104
1978,3-11 Years,281
1978,12-17 Years,219
1978,18-64 Years,3803
1978,65-85 Years,961
1978,More than 85 Years,48
1978,Not Specified,4015
1979,0-1 Month,10
1979,2 Months-2 Years,104
1979,3-11 Years,234
1979,12-17 Years,190
1979,18-64 Years,3249
1979,65-85 Years,999
1979,More than 85 Years,80
1979,Not Specified,3377
1980,0-1 Month,20
1980,2 Months-2 Years,304
1980,3-11 Years,444
1980,12-17 Years,318
1980,18-64 Years,5200
1980,65-85 Years,1585
1980,More than 85 Years,149
1980,Not Specified,4892
1981,0-1 Month,17
1981,2 Months-2 Years,347
1981,3-11 Years,475
1981,12-17 Years,327
1981,18-64 Years,5655
1981,65-85 Years,1803
1981,More than 85 Years,125
1981,Not Specified,5751
1982,0-1 Month,25
1982,2 Months-2 Years,538
1982,3-11 Years,666
