year,seriousness,count
1968,Serious,61
1968,Death,8
1968,Non-Serious,38
1969,Serious,3396
1969,Death,361
1969,Non-Serious,1676
1970,Serious,11002
1970,Death,1015
1970,Non-Serious,5930
1971,Serious,8905
1971,Death,697
1971,Non-Serious,3554
1972,Serious,6479
1972,Death,499
1972,Non-Serious,2659
1973,Serious,6430
1973,Death,836
1973,Non-Serious,4111
1974,Serious,4500
1974,Death,916
1974,Non-Serious,3837
1975,Serious,4979
1975,Death,1103
1975,Non-Serious,4533
1976,Serious,4218
1976,Death,667
1976,Non-Serious,5936
1977,Serious,5860
1977,Death,951
1977,Non-Serious,6930
1978,Serious,4044
1978,Death,574
1978,Non-Serious,4817
1979,Serious,3750
1979,Death,340
1979,Non-Serious,4153
1980,Serious,5243
1980,Death,1073
1980,Non-Serious,6596
1981,Serious,5985
1981,Death,1284
1981,Non-Serious,7231
1982,Serious,9851
1982,Death,1887
1982,Non-Serious,11967
1983,Serious,14886
1983,Death,2219
1983,Non-Serious,14916
1984,Serious,15887
1984,Death,2556
1984,Non-Serious,14180
1985,Serious,18259
1985,Death,4079
1985,Non-Serious,16461
1986,Serious,37178
1986,Death,6492
1986,Non-Serious,12258
1987,Serious,40915
1987,Death,4883
1987,Non-Serious,8961
1988,Serious,40174
1988,Death,3263
1988,Non-Serious,7701
1989,Serious,46548
1989,Death,3540
1989,Non-Serious,10594
1990,Serious,56694
1990,Death,3959
1990,Non-Serious,14548
1991,Serious,56321
1991,Death,4459
1991,Non-Serious,14510
1992,Serious,83838
1992,Death,5918
1992,Non-Serious,16198
1993,Serious,102517
1993,Death,6580
1993,Non-Serious,15101
1994,Serious,78730
1994,Death,7939
1994,Non-Serious,42453
1995,Serious,76539
1995,Death,7140
1995,Non-Serious,57988
1996,Serious,84156
1996,Death,8184
1996,Non-Serious,79864
1997,Serious,90548
1997,Death,10125
1997,Non-Serious,97561
1998,Serious,138890
1998,Death,15933
1998,Non-Serious,5067
1999,Serious,143143
1999,Death,17255
1999,Non-Serious,63965
2000,Serious,140796
2000,Death,19348
2000,Non-Serious,39655
2001,Serious,147755
2001,Death,23796
2001,Non-Serious,31657
2002,Serious,135581
2002,Death,27954
2002,Non-Serious,21344
2003,Serious,147814
2003,Death,34965
2003,Non-Serious,42455
2004,Serious,170577
2004,Death,34769
2004,Non-Serious,67485
2005,Serious,220070
2005,Death,40117
2005,Non-Serious,61692
2006,Serious,230675
2006,Death,37489
2006,Non-Serious,67506
2007,Serious,237186
2007,Death,37117
2007,Non-Serious,89022
2008,Serious,271087
2008,Death,50293
2008,Non-Serious,118291
2009,Serious,312107
2009,Death,64436
2009,Non-Serious,113865
2010,Serious,389776
2010,Death,83482
2010,Non-Serious,199382
2011,Serious,474241
2011,Death,99290
2011,Non-Serious,208096
2012,Serious,536999
2012,Death,117396
2012,Non-Serious,275784
2013,Serious,587142
2013,Death,116437
2013,Non-Serious,365014
2014,Serious,678960
2014,Death,124059
2014,Non-Serious,395414
2015,Serious,799884
2015,Death,147883
2015,Non-Serious,772024
2016,Serious,825736
2016,Death,141827
2016,Non-Serious,715810
2017,Serious,898582
2017,Death,163210
2017,Non-Serious,743218
2018,Serious,1097219
2018,Death,195354
2018,Non-Serious,847576
2019,Serious,1148749
2019,Death,172094
2019,Non-Serious,854441
2020,Serious,1176790
2020,Death,192769
2020,Non-Serious,833255
2021,Serious,1367820
2021,Death,186922
2021,Non-Serious,773848
2022,Serious,1256089
2022,Death,173907
2022,Non-Serious,907103
2023,Serious,1135376
2023,Death,162694
2023,Non-Serious,856385
2024,Serious,1067542
2024,Death,148463
2024,Non-Serious,825824
