year,sex,count
1968,Female,57
1968,Male,48
1968,Not Specified,2
1969,Female,3005
1969,Male,2113
1969,Not Specified,315
1970,Female,9124
1970,Male,7674
1970,Not Specified,1149
1971,Female,6116
1971,Male,6104
1971,Not Specified,936
1972,Female,4187
1972,Male,4417
1972,Not Specified,1033
1973,Female,4386
1973,Male,3571
1973,Not Specified,3420
1974,Female,4244
1974,Male,2923
1974,Not Specified,2086
1975,Female,5011
1975,Male,3769
1975,Not Specified,1835
1976,Female,5329
1976,Male,3210
1976,Not Specified,2282
1977,Female,6853
1977,Male,4160
1977,Not Specified,2728
1978,Female,4552
1978,Male,3086
1978,Not Specified,1797
1979,Female,3721
1979,Male,2689
1979,Not Specified,1833
1980,Female,5750
1980,Male,4476
1980,Not Specified,2686
1981,Female,6469
1981,Male,5006
1981,Not Specified,3025
1982,Female,11095
1982,Male,7881
1982,Not Specified,4729
1983,Female,15657
1983,Male,10653
1983,Not Specified,5711
1984,Female,15330
1984,Male,11118
1984,Not Specified,6175
1985,Female,18233
1985,Male,13084
1985,Not Specified,7482
1986,Female,25685
1986,Male,18724
1986,Not Specified,11519
1987,Female,26192
1987,Male,18389
1987,Not Specified,10178
1988,Female,24644
1988,Male,16780
1988,Not Specified,9714
1989,Female,29293
1989,Male,19846
1989,Not Specified,11543
1990,Female,36161
1990,Male,24655
1990,Not Specified,14385
1991,Female,36159
1991,Male,25208
1991,Not Specified,13923
1992,Female,53193
1992,Male,34824
1992,Not Specified,17937
1993,Female,63204
1993,Male,43340
1993,Not Specified,17654
1994,Female,66125
1994,Male,47811
1994,Not Specified,15186
1995,Female,79989
1995,Male,47589
1995,Not Specified,14089
1996,Female,99937
1996,Male,56767
1996,Not Specified,15500
1997,Female,115513
1997,Male,66021
1997,Not Specified,16700
1998,Female,86873
1998,Male,60797
1998,Not Specified,12220
1999,Female,126667
1999,Male,80273
1999,Not Specified,17423
2000,Female,111843
2000,Male,75491
2000,Not Specified,12465
2001,Female,108531
2001,Male,79749
2001,Not Specified,14928
2002,Female,96758
2002,Male,75958
2002,Not Specified,12163
2003,Female,118354
2003,Male,87770
2003,Not Specified,19110
2004,Female,151431
2004,Male,103678
2004,Not Specified,17722
2005,Female,172862
2005,Male,129235
2005,Not Specified,19782
2006,Female,182831
2006,Male,132346
2006,Not Specified,20493
2007,Female,203281
2007,Male,134058
2007,Not Specified,25986
2008,Female,249260
2008,Male,158027
2008,Not Specified,32384
2009,Female,268365
2009,Male,179666
2009,Not Specified,42377
2010,Female,371449
2010,Male,232742
2010,Not Specified,68449
2011,Female,455420
2011,Male,271448
2011,Not Specified,54759
2012,Female,524961
2012,Male,322839
2012,Not Specified,82379
2013,Female,623344
2013,Male,379380
2013,Not Specified,65869
2014,Female,660015
2014,Male,402169
2014,Not Specified,136249
2015,Female,943403
2015,Male,602044
2015,Not Specified,174344
2016,Female,915942
2016,Male,599002
2016,Not Specified,168429
2017,Female,966007
2017,Male,642197
2017,Not Specified,196806
2018,Female,1143928
2018,Male,730936
2018,Not Specified,265285
2019,Female,1174476
2019,Male,720564
2019,Not Specified,280244
2020,Female,1128736
2020,Male,731662
2020,Not Specified,342416
2021,Female,1177346
2021,Male,875649
2021,Not Specified,275595
2022,Female,1189210
2022,Male,841367
2022,Not Specified,306522
2023,Female,1085982
2023,Male,730127
2023,Not Specified,338346
2024,Female,1007479
2024,Male,684574
2024,Not Specified,349776
