year,report_type,report_count
1968,Non-Expedited,98
1968,Direct,9
1969,Expedited,1
1969,Non-Expedited,2745
1969,Direct,2687
1970,Expedited,5
1970,Non-Expedited,9979
1970,Direct,7963
1971,Expedited,1
1971,Non-Expedited,8238
1971,Direct,4917
1972,Non-Expedited,7603
1972,Direct,2034
1973,Expedited,4
1973,Non-Expedited,7305
1973,Direct,4068
1974,Expedited,1
1974,Non-Expedited,7004
1974,Direct,2248
1975,Non-Expedited,8472
1975,Direct,2143
1976,Non-Expedited,6950
1976,Direct,3870
1976,BSR,1
1977,Expedited,2
1977,Non-Expedited,9919
1977,Direct,3820
1978,Expedited,17
1978,Non-Expedited,7107
1978,Direct,2311
1979,Expedited,91
1979,Non-Expedited,6190
1979,Direct,1962
1980,Expedited,119
1980,Non-Expedited,9891
1980,Direct,2902
1981,Expedited,4721
1981,Non-Expedited,7121
1981,Direct,2658
1982,Expedited,6971
1982,Non-Expedited,12868
1982,Direct,3866
1983,Expedited,8114
1983,Non-Expedited,20209
1983,Direct,3698
1984,Expedited,6756
1984,Non-Expedited,24247
1984,Direct,1620
1985,Expedited,9796
1985,Non-Expedited,26522
1985,Direct,2481
1986,Expedited,15848
1986,Non-Expedited,36006
1986,Direct,4073
1986,BSR,1
1987,Expedited,12972
1987,Non-Expedited,37260
1987,Direct,4527
1988,Expedited,8277
1988,Non-Expedited,37078
1988,Direct,5783
1989,Expedited,9461
1989,Non-Expedited,43096
1989,Direct,8125
1990,Expedited,11405
1990,Non-Expedited,53427
1990,Direct,10367
1990,BSR,2
1991,Expedited,12826
1991,Non-Expedited,52027
1991,Direct,10434
1991,BSR,3
1992,Expedited,15943
1992,Non-Expedited,77071
1992,Direct,12940
1993,Expedited,19111
1993,Non-Expedited,90334
1993,Direct,14752
1993,BSR,1
1994,Expedited,22205
1994,Non-Expedited,89936
1994,Direct,16977
1994,BSR,4
1995,Expedited,21833
1995,Non-Expedited,103344
1995,Direct,16481
1995,BSR,9
1996,Expedited,26312
1996,Non-Expedited,130303
1996,Direct,15569
1996,BSR,20
1997,Expedited,37707
1997,Non-Expedited,144258
1997,Direct,16205
1997,BSR,64
1998,Expedited,70818
1998,Non-Expedited,73682
1998,Direct,15247
1998,BSR,143
1999,Expedited,80970
1999,Non-Expedited,127049
1999,Direct,16175
1999,BSR,169
2000,Expedited,94160
2000,Non-Expedited,89169
2000,Direct,16120
2000,BSR,350
2001,Expedited,113680
2001,Non-Expedited,70176
2001,Direct,19299
2001,BSR,53
2002,Expedited,127770
2002,Non-Expedited,36642
2002,Direct,20447
2002,BSR,20
2003,Expedited,143656
2003,Non-Expedited,58613
2003,Direct,22952
2003,BSR,13
2004,Expedited,161335
2004,Non-Expedited,89834
2004,Direct,21657
2004,BSR,5
2005,Expedited,212087
2005,Non-Expedited,84481
2005,Direct,25306
2005,BSR,5
2006,Expedited,219143
2006,Non-Expedited,95548
2006,Direct,20979
2007,Expedited,229897
2007,Non-Expedited,110397
2007,Direct,23031
2008,Expedited,274092
2008,Non-Expedited,132683
2008,Direct,32896
2009,Expedited,330083
2009,Non-Expedited,126159
2009,Direct,34166
2010,Expedited,409063
2010,Non-Expedited,234633
2010,Direct,28944
2011,Expedited,498420
2011,Non-Expedited,255165
2011,Direct,28042
2012,Expedited,574943
2012,Non-Expedited,326224
2012,Direct,29012
2013,Expedited,631158
2013,Non-Expedited,409045
2013,Direct,28390
2014,Expedited,741482
2014,Non-Expedited,422721
2014,Direct,34230
2015,Expedited,833112
2015,Non-Expedited,845020
2015,Direct,41659
2016,Expedited,863270
2016,Non-Expedited,769112
2016,Direct,50991
2017,Expedited,941777
2017,Non-Expedited,801203
2017,Direct,62030
2018,Expedited,1155290
2018,Non-Expedited,897308
2018,Direct,87551
2019,Expedited,1215041
2019,Non-Expedited,854855
2019,Direct,105388
2020,Expedited,1242171
2020,Non-Expedited,882083
2020,Direct,78560
2021,Expedited,1387985
2021,Non-Expedited,868056
2021,Direct,72549
2022,Expedited,1308258
2022,Non-Expedited,950762
2022,Direct,78079
2023,Expedited,1248041
2023,Non-Expedited,837783
2023,Direct,68631
2024,Expedited,1168649
2024,Non-Expedited,815057
2024,Direct,58123
